[ 2018-03-21 15:16:51 / linux        /   2845 /     53 ]: entry point: strata cleanup
[ 2018-03-21 15:17:02 / linux        /   3101 /     53 ]: entry point: strata continue
[ 2018-03-21 15:17:19 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:17:20 / linux        /   3101 /     60 ]: task end: 'initial search for vpackssdw_xmm_xmm_xmm with budget=200000' with result 'Initial search success'
[ 2018-03-21 15:17:36 / linux        /   3101 /     61 ]: task end: 'initial search for packssdw_xmm_xmm with budget=200000' with result 'Initial search timeout'
[ 2018-03-21 15:17:57 / linux        /   3101 /     84 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:17:57 / linux        /   3101 /     84 ]: task end: 'initial search for packssdw_xmm_xmm with budget=400000' with result 'Initial search success'
[ 2018-03-21 15:18:02 / linux        /   3101 /     79 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:18:27 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:18:45 / linux        /   3101 /     79 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:18:45 / linux        /   3101 /     79 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:19:12 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:19:12 / linux        /   3101 /    101 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:19:24 / linux        /   3101 /     60 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:19:52 / linux        /   3101 /    126 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:20:06 / linux        /   3101 /     60 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:20:06 / linux        /   3101 /     60 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:20:33 / linux        /   3101 /    126 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:20:33 / linux        /   3101 /    126 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:20:35 / linux        /   3101 /     61 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:21:15 / linux        /   3101 /     61 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:21:15 / linux        /   3101 /     61 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:21:20 / linux        /   3101 /     84 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:22:02 / linux        /   3101 /     84 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:22:02 / linux        /   3101 /     84 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:22:12 / linux        /   3101 /     79 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:22:54 / linux        /   3101 /     79 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:22:54 / linux        /   3101 /     79 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:23:37 / linux        /   3101 /     60 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:23:54 / linux        /   3101 /    101 ]: verification for vpackssdw_xmm_xmm_xmm: verified
